"1528289","-105.10694363","40.54745001","1619","","","","Swallow","","",""," ","1619 Swallow ","Fort Collins","80526","Larimer"
"1528290","-105.03356822","40.53690329","2413","","","","Antelope","","",""," ","2413 Antelope ","Fort Collins","80525","Larimer"
"1528291","-105.0337914","40.53682884","2407","","","","Antelope","","",""," ","2407 Antelope ","Fort Collins","80525","Larimer"
"1528292","-105.03401705","40.53673482","2401","","","","Antelope","","",""," ","2401 Antelope ","Fort Collins","80525","Larimer"
"1528293","-105.03391146","40.53647991","3636","","","","Muley","","",""," ","3636 Muley ","Fort Collins","80525","Larimer"
"1528294","-105.03366872","40.53656943","2406","","","","Wapiti","","",""," ","2406 Wapiti ","Fort Collins","80525","Larimer"
"1528295","-105.03342457","40.53665544","2412","","","","Wapiti","","",""," ","2412 Wapiti ","Fort Collins","80525","Larimer"
"1528296","-105.03317967","40.53671219","2418","","","","Wapiti","","",""," ","2418 Wapiti ","Fort Collins","80525","Larimer"
"1528297","-105.03291964","40.53675473","2424","","","","Wapiti","","",""," ","2424 Wapiti ","Fort Collins","80525","Larimer"
"1528298","-105.03265751","40.53677536","2430","","","","Wapiti","","",""," ","2430 Wapiti ","Fort Collins","80525","Larimer"
"1528299","-105.03237907","40.53677856","2500","","","","Wapiti","","",""," ","2500 Wapiti ","Fort Collins","80525","Larimer"
"1528300","-105.03211235","40.53676525","2506","","","","Wapiti","","",""," ","2506 Wapiti ","Fort Collins","80525","Larimer"
"1528301","-105.09825891","40.43210474","1518","","","","40Th","","",""," ","1518 40Th ","Loveland","80538","Larimer"
"1528302","-105.09789926","40.43202388","1506","","","","40Th","","",""," ","1506 40Th ","Loveland","80538","Larimer"
"1528303","-105.09764691","40.43202352","1440","","","","40Th","","",""," ","1440 40Th ","Loveland","80538","Larimer"
"1528304","-105.09739551","40.43208768","1428","","","","40Th","","",""," ","1428 40Th ","Loveland","80538","Larimer"
"1528305","-105.0971427","40.43208817","1416","","","","40Th","","",""," ","1416 40Th ","Loveland","80538","Larimer"
"1528306","-105.09687413","40.43208912","1404","","","","40Th","","",""," ","1404 40Th ","Loveland","80538","Larimer"
"1528307","-105.11528509","40.5864588","101","","","","Taft","Hill","",""," ","101 Taft Hill ","Fort Collins","80521","Larimer"
"1528308","-105.09594083","40.58961537","211","","","","Shields","","",""," ","211 Shields ","Fort Collins","80521","Larimer"
"1528309","-105.09633696","40.58931416","1104","","","","Laporte","","",""," ","1104 Laporte ","Fort Collins","80521","Larimer"
"1528310","-105.02732469","40.57702154","802","","","","Countryside","","",""," ","802 Countryside ","Fort Collins","80524","Larimer"
"1528311","-105.02728299","40.57688803","804","","","","Countryside","","",""," ","804 Countryside ","Fort Collins","80524","Larimer"
"1528312","-105.0272413","40.57675451","806","","","","Countryside","","",""," ","806 Countryside ","Fort Collins","80524","Larimer"
"1528313","-105.02717189","40.57656213","808","","","","Countryside","","",""," ","808 Countryside ","Fort Collins","80524","Larimer"
"1528314","-105.02696657","40.57614585","2707","","","","Cherly","","",""," ","2707 Cherly ","Fort Collins","80524","Larimer"
"1528315","-105.02716199","40.57617483","2705","","","","Cherly","","",""," ","2705 Cherly ","Fort Collins","80524","Larimer"
"1528316","-105.02734619","40.5762017","2703","","","","Cherly","","",""," ","2703 Cherly ","Fort Collins","80524","Larimer"
"1528317","-105.02754434","40.57622998","2701","","","","Cherly","","",""," ","2701 Cherly ","Fort Collins","80524","Larimer"
"1528318","-105.02774809","40.57626891","2617","","","","Cherly","","",""," ","2617 Cherly ","Fort Collins","80524","Larimer"
"1528319","-105.02793125","40.57630444","2615","","","","Cherly","","",""," ","2615 Cherly ","Fort Collins","80524","Larimer"
"1528320","-105.02810569","40.57633827","2613","","","","Cherly","","",""," ","2613 Cherly ","Fort Collins","80524","Larimer"
"1528321","-105.27420838","40.96900307","1925","","","","Walno","","",""," ","1925 Walno ","Livermore","80536","Larimer"
"1528322","-105.27599049","40.97709164","886","","","","Walno","","",""," ","886 Walno ","Livermore","80536","Larimer"
"1528323","-105.14364317","40.61516106","3614","","","","Arapahoe","","",""," ","3614 Arapahoe ","Fort Collins","80521","Larimer"
"1528324","-105.00453703","40.702398","3812","","","","Roosevelt","","",""," ","3812 Roosevelt ","Wellington","80549","Larimer"
"1528325","-104.99100038","40.74235852","4606","","","Cr","68","","",""," ","4606 Cr 68 ","Wellington","80549","Larimer"
"1528326","-105.27288871","40.52857305","10810","","","","Bears Lair","","",""," ","10810 Bears Lair ","Loveland","80538","Larimer"
"1528327","-105.2756981","40.5355589","450","","","","Willow Patch","","",""," ","450 Willow Patch ","Bellvue","80512","Larimer"
"1528328","-105.28370464","40.5306413","1320","","","","Willow Patch","","",""," ","1320 Willow Patch ","Bellvue","80512","Larimer"
"1528329","-105.26342683","40.36320104","13633","","","Cr","18E","","",""," ","13633 Cr 18E ","Loveland","80537","Larimer"
"1528330","-105.29402723","40.54183874","957","","","","Stringtown Gulch","","",""," ","957 Stringtown Gulch ","Bellvue","80512","Larimer"
"1528331","-105.10330388","40.54340499","3219","","","","Bowie","","",""," ","3219 Bowie ","Fort Collins","80526","Larimer"
"1528332","-105.10410189","40.54313028","1500","","","","Casa Grande","","",""," ","1500 Casa Grande ","Fort Collins","80526","Larimer"
"1528333","-105.10436064","40.54307857","1506","","","","Casa Grande","","",""," ","1506 Casa Grande ","Fort Collins","80526","Larimer"
"1528334","-105.10463276","40.54307945","1512","","","","Casa Grande","","",""," ","1512 Casa Grande ","Fort Collins","80526","Larimer"
"1528335","-105.10488823","40.54308027","1518","","","","Casa Grande","","",""," ","1518 Casa Grande ","Fort Collins","80526","Larimer"
"1528336","-105.10476644","40.5433077","3218","","","","Sam Houston","","",""," ","3218 Sam Houston ","Fort Collins","80526","Larimer"
"1528337","-105.09084772","40.52705158","812","","","","Bitterbrush","","",""," ","812 Bitterbrush ","Fort Collins","80526","Larimer"
"1528338","-105.52598617","40.94784897","2310","","","","Red Ashby","","",""," ","2310 Red Ashby ","Livermore","80536","Larimer"
"1528339","-105.52541236","40.95411349","2893","","","Cr","59","","",""," ","2893 Cr 59 ","Livermore","80536","Larimer"
"1528340","-105.12846719","40.55634089","2313","","","","Yorkshire","","",""," ","2313 Yorkshire ","Fort Collins","80526","Larimer"
