"493112","-107.38358909","37.11572486","12348"," "," ","Usfs","613"," ","",""," ","12348 Usfs 613 ","Archuleta","","Archuleta"
"493113","-107.38296363","37.11700656","12248"," "," ","Usfs","613"," ","",""," ","12248 Usfs 613 ","Archuleta","","Archuleta"
"493114","-107.28388992","37.00967748","32900"," "," ","Cr","500"," ","",""," ","32900 Cr 500 ","Archuleta","","Archuleta"
"493115","-107.44907757","37.00590318","548"," "," ","Cr","975"," ","",""," ","548 Cr 975 ","Archuleta","","Archuleta"
"493116","-107.4760355","37.0091572","2030"," "," ","Cr","977"," ","",""," ","2030 Cr 977 ","Archuleta","","Archuleta"
"493117","-107.46402179","37.00989624","1344"," "," ","Cr","977"," ","",""," ","1344 Cr 977 ","Archuleta","","Archuleta"
"493118","-106.8924045","37.01924851","7390","E"," ","Cr","359"," ","",""," ","7390 E Cr 359 ","Archuleta","","Archuleta"
"493119","-106.89212451","37.01229508","3310"," "," ","Cr","391"," ","",""," ","3310 Cr 391 ","Archuleta","","Archuleta"
"493120","-107.46283275","37.00581721","1046"," "," ","Cr","977"," ","",""," ","1046 Cr 977 ","Archuleta","","Archuleta"
"493121","-107.44847223","37.03652114","2072"," "," ","Cr","973"," ","",""," ","2072 Cr 973 ","Archuleta","","Archuleta"
"493122","-107.43615513","37.03904189","1382"," "," ","Cr","973"," ","",""," ","1382 Cr 973 ","Archuleta","","Archuleta"
"493123","-107.45880279","37.03893551","2584"," "," ","Cr","973"," ","",""," ","2584 Cr 973 ","Archuleta","","Archuleta"
"493124","-107.45661255","37.02774581","19763","A"," ","St Hwy","151"," ","",""," ","19763 A St Hwy 151 ","Archuleta","","Archuleta"
"493125","-107.47820149","37.03252027","200"," "," ","Cr","988"," ","",""," ","200 Cr 988 ","Archuleta","","Archuleta"
"493126","-107.44093806","37.03947031","1550"," "," ","Cr","973"," ","",""," ","1550 Cr 973 ","Archuleta","","Archuleta"
"493127","-107.17258647","37.11042931","10630"," "," ","Cr","700"," ","",""," ","10630 Cr 700 ","Archuleta","","Archuleta"
"493128","-106.91086809","37.08531632","646"," "," ","Cr","359"," ","",""," ","646 Cr 359 ","Archuleta","","Archuleta"
"493129","-107.4195249","37.01159024","551",""," ","","Candle Light","Court","",""," ","551 Candle Light Court "," ","","Archuleta"
"493130","-107.40834688","37.00887711","1211"," "," ","Cr","982"," ","",""," ","1211 Cr 982 ","Archuleta","","Archuleta"
"493131","-107.4361204","37.01284115","1629","A"," ","Cr","975"," ","",""," ","1629 A Cr 975 ","Archuleta","","Archuleta"
"493132","-107.46581734","37.01279566","1311"," "," ","Cr","977"," ","",""," ","1311 Cr 977 ","Archuleta","","Archuleta"
