"2060124","-104.80737931","38.77737711","3730"," ","","","Penny","Point","","UNIT","G","3730 Penny Point UNIT G","Colorado Springs","80906","ElPaso"
"2060125","-104.80695625","38.77782164","3770"," ","","","Penny","Point","","UNIT","A","3770 Penny Point UNIT A","Colorado Springs","80906","ElPaso"
"2060126","-104.80696693","38.7778503","3770"," ","","","Penny","Point","","UNIT","B","3770 Penny Point UNIT B","Colorado Springs","80906","ElPaso"
"2060127","-104.80611195","38.77747901","3810"," ","","","Strawberry Field","Grove","","UNIT","E","3810 Strawberry Field Grove UNIT E","Colorado Springs","80906","ElPaso"
"2060128","-104.80606728","38.7775636","3810"," ","","","Strawberry Field","Grove","","UNIT","F","3810 Strawberry Field Grove UNIT F","Colorado Springs","80906","ElPaso"
"2060129","-104.80653658","38.77789236","3835"," ","","","Strawberry Field","Grove","","UNIT","E","3835 Strawberry Field Grove UNIT E","Colorado Springs","80906","ElPaso"
"2060130","-104.80643657","38.77799903","3835"," ","","","Strawberry Field","Grove","","UNIT","F","3835 Strawberry Field Grove UNIT F","Colorado Springs","80906","ElPaso"
"2060131","-104.80605796","38.77822072","3855"," ","","","Strawberry Field","Grove","","UNIT","F","3855 Strawberry Field Grove UNIT F","Colorado Springs","80906","ElPaso"
"2060132","-104.80600968","38.77817633","3855"," ","","","Strawberry Field","Grove","","UNIT","G","3855 Strawberry Field Grove UNIT G","Colorado Springs","80906","ElPaso"
"2060133","-104.80687725","38.77660046","3750"," ","","","Strawberry Field","Grove","","UNIT","B","3750 Strawberry Field Grove UNIT B","Colorado Springs","80906","ElPaso"
"2060134","-104.80687182","38.77653273","3750"," ","","","Strawberry Field","Grove","","UNIT","C","3750 Strawberry Field Grove UNIT C","Colorado Springs","80906","ElPaso"
"2060135","-104.80658062","38.7768233","3770"," ","","","Strawberry Field","Grove","","UNIT","C","3770 Strawberry Field Grove UNIT C","Colorado Springs","80906","ElPaso"
"2060136","-104.8066581","38.77687239","3770"," ","","","Strawberry Field","Grove","","UNIT","D","3770 Strawberry Field Grove UNIT D","Colorado Springs","80906","ElPaso"
"2060137","-104.80715495","38.7770351","3735"," ","","","Strawberry Field","Grove","","UNIT","C","3735 Strawberry Field Grove UNIT C","Colorado Springs","80906","ElPaso"
"2060138","-104.80711979","38.77701868","3735"," ","","","Strawberry Field","Grove","","UNIT","D","3735 Strawberry Field Grove UNIT D","Colorado Springs","80906","ElPaso"
"2060139","-104.8062754","38.77721101","3790"," ","","","Strawberry Field","Grove","","UNIT","C","3790 Strawberry Field Grove UNIT C","Colorado Springs","80906","ElPaso"
"2060140","-104.80635925","38.77710568","3790"," ","","","Strawberry Field","Grove","","UNIT","D","3790 Strawberry Field Grove UNIT D","Colorado Springs","80906","ElPaso"
"2060141","-104.80729791","38.77735565","3730"," ","","","Penny","Point","","UNIT","D","3730 Penny Point UNIT D","Colorado Springs","80906","ElPaso"
"2060142","-104.80729821","38.77732515","3730"," ","","","Penny","Point","","UNIT","E","3730 Penny Point UNIT E","Colorado Springs","80906","ElPaso"
"2060143","-104.80570829","38.77792262","3830"," ","","","Strawberry Field","Grove","","UNIT","F","3830 Strawberry Field Grove UNIT F","Colorado Springs","80906","ElPaso"
"2060144","-104.80566748","38.77789139","3830"," ","","","Strawberry Field","Grove","","UNIT","G","3830 Strawberry Field Grove UNIT G","Colorado Springs","80906","ElPaso"
"2060145","-104.80528524","38.77818639","3850"," ","","","Strawberry Field","Grove","","UNIT","F","3850 Strawberry Field Grove UNIT F","Colorado Springs","80906","ElPaso"
"2060146","-104.80554164","38.77844525","3870"," ","","","Strawberry Field","Grove","","UNIT","B","3870 Strawberry Field Grove UNIT B","Colorado Springs","80906","ElPaso"
"2060147","-104.80544496","38.77836721","3870"," ","","","Strawberry Field","Grove","","UNIT","C","3870 Strawberry Field Grove UNIT C","Colorado Springs","80906","ElPaso"
"2060148","-104.80636987","38.77840687","3875"," ","","","Strawberry Field","Grove","","UNIT","B","3875 Strawberry Field Grove UNIT B","Colorado Springs","80906","ElPaso"
"2060149","-104.80634032","38.77834592","3875"," ","","","Strawberry Field","Grove","","UNIT","C","3875 Strawberry Field Grove UNIT C","Colorado Springs","80906","ElPaso"
"2060150","-104.80665646","38.77824925","3895"," ","","","Strawberry Field","Grove","","UNIT","C","3895 Strawberry Field Grove UNIT C","Colorado Springs","80906","ElPaso"
"2060151","-104.80673717","38.77821612","3895"," ","","","Strawberry Field","Grove","","UNIT","D","3895 Strawberry Field Grove UNIT D","Colorado Springs","80906","ElPaso"
"2060152","-104.81796396","38.80472015","2005"," ","","","Southgate","Road","","APT","1","2005 Southgate Road APT 1","Colorado Springs","80905","ElPaso"
"2060153","-104.81805167","38.80451734","2009"," ","","","Southgate","Road","","APT","17","2009 Southgate Road APT 17","Colorado Springs","80905","ElPaso"
"2060154","-104.81819308","38.80446335","2009"," ","","","Southgate","Road","","APT","18","2009 Southgate Road APT 18","Colorado Springs","80905","ElPaso"
"2060155","-104.81828285","38.80428687","2013"," ","","","Southgate","Road","","APT","25","2013 Southgate Road APT 25","Colorado Springs","80905","ElPaso"
"2060156","-104.81820759","38.80419347","2013"," ","","","Southgate","Road","","APT","26","2013 Southgate Road APT 26","Colorado Springs","80905","ElPaso"
"2060157","-104.817861","38.80451467","2017"," ","","","Southgate","Road","","APT","36","2017 Southgate Road APT 36","Colorado Springs","80905","ElPaso"
"2060158","-104.81775595","38.80458973","2017"," ","","","Southgate","Road","","APT","37","2017 Southgate Road APT 37","Colorado Springs","80905","ElPaso"
"2060159","-104.81746797","38.80407053","2039"," ","","","Southgate","Road","","APT","67","2039 Southgate Road APT 67","Colorado Springs","80905","ElPaso"
"2060160","-104.81736345","38.80392846","2041"," ","","","Southgate","Road","","APT","75","2041 Southgate Road APT 75","Colorado Springs","80905","ElPaso"
"2060161","-104.81733111","38.80388596","2041"," ","","","Southgate","Road","","APT","76","2041 Southgate Road APT 76","Colorado Springs","80905","ElPaso"
"2060162","-104.81725478","38.80377383","2043"," ","","","Southgate","Road","","APT","83","2043 Southgate Road APT 83","Colorado Springs","80905","ElPaso"
"2060163","-104.81722314","38.80373789","2043"," ","","","Southgate","Road","","APT","84","2043 Southgate Road APT 84","Colorado Springs","80905","ElPaso"
"2060164","-104.81705819","38.80422129","2033"," ","","","Southgate","Road","","APT","53","2033 Southgate Road APT 53","Colorado Springs","80905","ElPaso"
"2060165","-104.81715368","38.80417395","2033"," ","","","Southgate","Road","","APT","54","2033 Southgate Road APT 54","Colorado Springs","80905","ElPaso"
"2060166","-104.81719595","38.80401524","2037"," ","","","Southgate","Road","","APT","61","2037 Southgate Road APT 61","Colorado Springs","80905","ElPaso"
"2060167","-104.81707209","38.80406635","2037"," ","","","Southgate","Road","","APT","62","2037 Southgate Road APT 62","Colorado Springs","80905","ElPaso"
"2060168","-104.81707446","38.80380035","2051"," ","","","Southgate","Road","","APT","11","2051 Southgate Road APT 11","Colorado Springs","80905","ElPaso"
"2060169","-104.81698885","38.80383381","2051"," ","","","Southgate","Road","","APT","12","2051 Southgate Road APT 12","Colorado Springs","80905","ElPaso"
"2060170","-104.81687649","38.80382791","2049"," ","","","Southgate","Road","","APT","95","2049 Southgate Road APT 95","Colorado Springs","80905","ElPaso"
"2060171","-104.81664069","38.80398951","2047"," ","","","Southgate","Road","","APT","93","2047 Southgate Road APT 93","Colorado Springs","80905","ElPaso"
"2060172","-104.81673549","38.80395074","2047"," ","","","Southgate","Road","","APT","94","2047 Southgate Road APT 94","Colorado Springs","80905","ElPaso"
"2060173","-104.81738418","38.80320177","2053"," ","","","Southgate","Road","","APT","13","2053 Southgate Road APT 13","Colorado Springs","80905","ElPaso"
"2060174","-104.81733998","38.80328033","2055"," ","","","Southgate","Road","","APT","11","2055 Southgate Road APT 11","Colorado Springs","80905","ElPaso"
"2060175","-104.81702408","38.80335447","2057"," ","","","Southgate","Road","","APT","111","2057 Southgate Road APT 111","Colorado Springs","80905","ElPaso"
"2060176","-104.81763962","38.80314018","2069"," ","","","Southgate","Road","","APT","135","2069 Southgate Road APT 135","Colorado Springs","80905","ElPaso"
"2060177","-104.81757195","38.80304968","2069"," ","","","Southgate","Road","","APT","136","2069 Southgate Road APT 136","Colorado Springs","80905","ElPaso"
