"2330188","2927737.36731","1204275.35422","224",""," ","","Lakota Park","Drive"," ","","","224 Lakota Park Drive ","","80482","Grand"
"2330189","2916735.825","1215322.76717","224",""," ","","Leland Creek","Circle"," ","","","224 Leland Creek Circle ","","80482","Grand"
"2330190","2907435.03174","1335971.16531","224",""," ","","Mountain","Avenue"," ","","","224 Mountain Avenue ","","80447","Grand"
"2330191","2831267.71306","1271611.00955","224",""," ","","Spruce","Street"," ","","","224 Spruce Street ","","80451","Grand"
"2330192","2916572.14184","1210946.70386","224",""," ","","Woodspur","Lane"," ","","","224 Woodspur Lane ","","80482","Grand"
"2330193","2898129.8888","1324635.94317","224_256",""," ","Co Rd","County Road 464","Road"," ","","","224_256 County Road 464 Road ","","80447","Grand"
"2330194","2919073.11429","1220441.98167","2242",""," ","","Pioneer Trail","Trail"," ","","","2242 Pioneer Trail Trail ","","80442","Grand"
"2330195","2926469.52109","1198487.46029","225",""," ","","Bridger Trail","Trail"," ","","","225 Bridger Trail Trail ","","80482","Grand"
"2330196","2920980.49171","1217401.74464","225",""," ","","Campfire","Lane"," ","","","225 Campfire Lane ","","80442","Grand"
"2330197","2909863.90371","1223391.84027","225",""," ","","Carriage","Road"," ","","","225 Carriage Road ","","80442","Grand"
"2330198","2890744.80824","1313499.94959","225",""," ","Co Rd","County Road 4032","Lane"," ","","","225 County Road 4032 Lane ","","80446","Grand"
"2330199","2894290.39841","1315115.61912","225",""," ","Co Rd","County Road 4421","Road"," ","","","225 County Road 4421 Road ","","80447","Grand"
"2330200","2898642.2183","1321109.93247","225",""," ","Co Rd","County Road 4612"," "," ","","","225 County Road 4612 ","","80447","Grand"
"2330201","2913011.8212","1223586.21812","225",""," ","Co Rd","County Road 804"," "," ","","","225 County Road 804 ","","80442","Grand"
"2330202","2913011.8212","1223586.21812","225",""," ","Co Rd","County Road 804"," "," ","","","225 County Road 804 ","","80442","Grand"
"2330203","2913011.8212","1223586.21812","225",""," ","Co Rd","County Road 804"," "," ","","","225 County Road 804 ","","80442","Grand"
"2330204","2913011.8212","1223586.21812","225",""," ","Co Rd","County Road 804"," "," ","","","225 County Road 804 ","","80442","Grand"
"2330205","2913011.8212","1223586.21812","225",""," ","Co Rd","County Road 804"," "," ","","","225 County Road 804 ","","80442","Grand"
"2330206","2913011.8212","1223586.21812","225",""," ","Co Rd","County Road 804"," "," ","","","225 County Road 804 ","","80442","Grand"
"2330207","2913011.8212","1223586.21812","225",""," ","Co Rd","County Road 804"," "," ","","","225 County Road 804 ","","80442","Grand"
"2330208","2913011.8212","1223586.21812","225",""," ","Co Rd","County Road 804"," "," ","","","225 County Road 804 ","","80442","Grand"
"2330209","2913011.8212","1223586.21812","225",""," ","Co Rd","County Road 804"," "," ","","","225 County Road 804 ","","80442","Grand"
"2330210","2913011.8212","1223586.21812","225",""," ","Co Rd","County Road 804"," "," ","","","225 County Road 804 ","","80442","Grand"
"2330211","2913011.8212","1223586.21812","225",""," ","Co Rd","County Road 804"," "," ","","","225 County Road 804 ","","80442","Grand"
"2330212","2913011.8212","1223586.21812","225",""," ","Co Rd","County Road 804"," "," ","","","225 County Road 804 ","","80442","Grand"
"2330213","2913011.8212","1223586.21812","225",""," ","Co Rd","County Road 804"," "," ","","","225 County Road 804 ","","80442","Grand"
"2330214","2913011.8212","1223586.21812","225",""," ","Co Rd","County Road 804"," "," ","","","225 County Road 804 ","","80442","Grand"
"2330215","2913011.8212","1223586.21812","225",""," ","Co Rd","County Road 804"," "," ","","","225 County Road 804 ","","80442","Grand"
