"1740193","-107.67336655","38.02142435","191"," "," ","","5Th","Avenue"," "," "," ","191 5Th Avenue ","Ouray","","Ouray"
"1740194","-107.67440503","38.02142531","115"," "," ","","5Th Avenue","Court"," "," "," ","115 5Th Avenue Court ","Ouray","","Ouray"
"1740195","-107.67550446","38.02169255","442"," "," ","","Oak","Street"," "," "," ","442 Oak Street ","Ouray","","Ouray"
"1740196","-107.6768137","38.02155453","302"," "," ","","Queen","Street"," "," "," ","302 Queen Street ","Ouray","","Ouray"
"1740197","-107.66704196","38.02186019","501"," "," ","","6Th","Street"," "," "," ","501 6Th Street ","Ouray","","Ouray"
"1740198","-107.67533863","38.02330197","620"," "," ","","Oak","Street"," "," "," ","620 Oak Street ","Ouray","","Ouray"
"1740199","-107.66925597","38.02182209","428"," "," ","","5Th","Avenue"," "," "," ","428 5Th Avenue ","Ouray","","Ouray"
"1740200","-107.6697566","38.02185851","505"," "," ","","4Th","Street"," "," "," ","505 4Th Street ","Ouray","","Ouray"
"1740201","-107.67062006","38.02184782","332"," "," ","","5Th","Avenue"," "," "," ","332 5Th Avenue ","Ouray","","Ouray"
"1740202","-107.6703762","38.02223511","524"," "," ","","4Th","Street"," "," "," ","524 4Th Street ","Ouray","","Ouray"
"1740203","-107.66815211","38.0222698","525"," "," ","","5Th","Street"," "," "," ","525 5Th Street ","Ouray","","Ouray"
"1740204","-107.67171423","38.02223669","512"," "," ","","Main","Street"," "," "," ","512 Main Street ","Ouray","","Ouray"
"1740205","-107.66973793","38.02228617","529"," "," ","","4Th","Street"," "," "," ","529 4Th Street ","Ouray","","Ouray"
"1740206","-107.67097647","38.02231051","523"," "," ","","Main","Street"," "," "," ","523 Main Street ","Ouray","","Ouray"
"1740207","-107.6717143","38.02230358","512","1/2"," ","","Main","Street"," "," "," ","512 1/2 Main Street ","Ouray","","Ouray"
"1740208","-107.66756845","38.02240248","540"," "," ","","6Th","Street"," "," "," ","540 6Th Street ","Ouray","","Ouray"
"1740209","-107.67262855","38.02226876","525"," "," ","","2Nd","Street"," "," "," ","525 2Nd Street ","Ouray","","Ouray"
"1740210","-107.67642829","38.02241351","481"," "," ","","Pinecrest","Drive"," "," "," ","481 Pinecrest Drive ","Ouray","","Ouray"
"1740211","-107.67037079","38.02235167","532"," "," ","","4Th","Street"," "," "," ","532 4Th Street ","Ouray","","Ouray"
"1740212","-107.67554135","38.02244757","538"," "," ","","Oak","Street"," "," "," ","538 Oak Street ","Ouray","","Ouray"
"1740213","-107.6662823","38.02236851","433"," "," ","","Hillcrest","Court"," "," "," ","433 Hillcrest Court ","Ouray","","Ouray"
"1740214","-107.67127069","38.02244175","539"," "," ","","Main","Street"," "," "," ","539 Main Street ","Ouray","","Ouray"
