200055,001-005901-346578,NULL,-104.91964649,39.80298349,5901,NULL,East,NULL,58Th,Avenue,NULL,NULL, ,5901 East 58Th Avenue ,NULL,NULL,NULL,NULL,2019-02-12 00:00:00.0000000,ACTIVE,NO CHANGE,Adams,0xAD100000010CD475F17CDB3A5AC06089BC29C8E64340
200056,001-006300-346579,NULL,-104.91433321,39.80112601,6300,NULL,East,NULL,58Th,Avenue,NULL,NULL, ,6300 East 58Th Avenue ,NULL,NULL,NULL,NULL,2019-02-12 00:00:00.0000000,ACTIVE,NO CHANGE,Adams,0xAD100000010C4C936F6F843A5AC0A8B9034C8BE64340
200057,001-006300-346580,NULL,-104.91506934,39.80129213,6300,NULL,East,NULL,58Th,Avenue,NULL,NULL, ,6300 East 58Th Avenue ,NULL,NULL,NULL,NULL,2019-02-12 00:00:00.0000000,ACTIVE,NO CHANGE,Adams,0xAD100000010CD037FE7E903A5AC070B587BD90E64340
200058,001-003151-346581,NULL,-104.85273265,39.76144805,3151,NULL, ,NULL,Nome,Street,NULL,NULL, ,3151 Nome Street ,NULL,NULL,NULL,NULL,2019-02-12 00:00:00.0000000,ACTIVE,NO CHANGE,Adams,0xAD100000010C7037FA2B93365AC038C43C2177E14340
200059,001-003131-346582,NULL,-104.85113901,39.76089809,3131,NULL, ,NULL,Oakland,Street,NULL,NULL, ,3131 Oakland Street ,NULL,NULL,NULL,NULL,2019-02-12 00:00:00.0000000,ACTIVE,NO CHANGE,Adams,0xAD100000010C8CDABD0F79365AC0D0A8D61B65E14340
200060,001-005961-346583,NULL,-104.91772959,39.81359705,5961,NULL,East,NULL,64Th,Avenue,NULL,NULL, ,5961 East 64Th Avenue ,NULL,NULL,NULL,NULL,2019-02-12 00:00:00.0000000,ACTIVE,NO CHANGE,Adams,0xAD100000010CA4FAE414BC3A5AC0B086C1F223E84340
200061,001-005961-346584,NULL,-104.91774875,39.81461203,5961,NULL,East,NULL,64Th,Avenue,NULL,NULL, ,5961 East 64Th Avenue ,NULL,NULL,NULL,NULL,2019-02-12 00:00:00.0000000,ACTIVE,NO CHANGE,Adams,0xAD100000010CDC2A4665BC3A5AC0A87A063545E84340
200062,001-005961-346585,NULL,-104.91781579,39.81412350,5961,NULL,East,NULL,64Th,Avenue,NULL,NULL, ,5961 East 64Th Avenue ,NULL,NULL,NULL,NULL,2019-02-12 00:00:00.0000000,ACTIVE,NO CHANGE,Adams,0xAD100000010C5873707EBD3A5AC0D81CDF3235E84340
200063,001-005961-346586,NULL,-104.91826680,39.81422571,5961,NULL,East,NULL,64Th,Avenue,NULL,NULL, ,5961 East 64Th Avenue ,NULL,NULL,NULL,NULL,2019-02-12 00:00:00.0000000,ACTIVE,NO CHANGE,Adams,0xAD100000010C8C1E22E2C43A5AC0986A458C38E84340
200064,001-005961-346587,NULL,-104.91894812,39.81419965,5961,NULL,East,NULL,64Th,Avenue,NULL,NULL, ,5961 East 64Th Avenue ,NULL,NULL,NULL,NULL,2019-02-12 00:00:00.0000000,ACTIVE,NO CHANGE,Adams,0xAD100000010CB887C60BD03A5AC0E0BAB4B137E84340
200065,001-006595-346588,NULL,-104.91059359,39.82405474,6595,NULL,East,NULL,70Th,Avenue,NULL,NULL, ,6595 East 70Th Avenue ,NULL,NULL,NULL,NULL,2019-02-12 00:00:00.0000000,ACTIVE,NO CHANGE,Adams,0xAD100000010C349E5B2A473A5AC008CC37A07AE94340
200066,001-006595-346589,NULL,-104.91071652,39.82405548,6595,NULL,East,NULL,70Th,Avenue,NULL,NULL, ,6595 East 70Th Avenue ,NULL,NULL,NULL,NULL,2019-02-12 00:00:00.0000000,ACTIVE,NO CHANGE,Adams,0xAD100000010C4CB3F62D493A5AC048C15BA67AE94340
200067,001-006405-346590,NULL,-104.91310899,39.81313364,6405,NULL, ,NULL,Monaco,Street,NULL,NULL, ,6405 Monaco Street ,NULL,NULL,NULL,NULL,2019-02-12 00:00:00.0000000,ACTIVE,NO CHANGE,Adams,0xAD100000010CD081B160703A5AC0F82064C314E84340
200068,001-006000-346591,NULL,-104.91879327,39.80121319,6000,NULL,East,NULL,58Th,Avenue,NULL,NULL, ,6000 East 58Th Avenue ,NULL,NULL,NULL,NULL,2019-02-12 00:00:00.0000000,ACTIVE,NO CHANGE,Adams,0xAD100000010C94C14B82CD3A5AC0805955278EE64340
200069,001-006000-346592,NULL,-104.91803110,39.80131027,6000,NULL,East,NULL,58Th,Avenue,NULL,NULL, ,6000 East 58Th Avenue ,NULL,NULL,NULL,NULL,2019-02-12 00:00:00.0000000,ACTIVE,NO CHANGE,Adams,0xAD100000010CBCA78105C13A5AC0F0A6BB5591E64340
200070,001-007167-346593,NULL,-104.90527304,39.79428000,7167,NULL,East,NULL,53Rd,Place,NULL,NULL, ,7167 East 53Rd Place ,NULL,NULL,NULL,NULL,2019-02-12 00:00:00.0000000,ACTIVE,NO CHANGE,Adams,0xAD100000010CE84256FEEF395AC038C98DF7AAE54340
200071,001-006100-346594,NULL,-104.91714518,39.81686034,6100,NULL,East,NULL,66Th,Place,NULL,NULL, ,6100 East 66Th Place ,NULL,NULL,NULL,NULL,2019-02-12 00:00:00.0000000,ACTIVE,NO CHANGE,Adams,0xAD100000010C2C72B281B23A5AC0987037E18EE84340
200072,001-006595-346595,NULL,-104.91080683,39.82431353,6595,NULL,East,NULL,70Th,Avenue,NULL,NULL, ,6595 East 70Th Avenue ,NULL,NULL,NULL,NULL,2019-02-12 00:00:00.0000000,ACTIVE,NO CHANGE,Adams,0xAD100000010CF0CEB8A84A3A5AC098CB161B83E94340
200073,001-006595-346596,NULL,-104.91132148,39.82404522,6595,NULL,East,NULL,70Th,Avenue,NULL,NULL, ,6595 East 70Th Avenue ,NULL,NULL,NULL,NULL,2019-02-12 00:00:00.0000000,ACTIVE,NO CHANGE,Adams,0xAD100000010CC0095217533A5AC0A82953507AE94340
200074,001-007001-346597,NULL,-104.90564334,39.80128347,7001,NULL,East,NULL,57Th,Place,NULL,NULL, ,7001 East 57Th Place ,NULL,NULL,NULL,NULL,2019-02-12 00:00:00.0000000,ACTIVE,NO CHANGE,Adams,0xAD100000010CD8DB7C0FF6395AC0E8D3F57490E64340
200075,001-005560-346598,NULL,-104.91306906,39.79766685,5560,NULL, ,NULL,Monaco,Street,NULL,NULL, ,5560 Monaco Street ,NULL,NULL,NULL,NULL,2019-02-12 00:00:00.0000000,ACTIVE,NO CHANGE,Adams,0xAD100000010CE01138B96F3A5AC048848DF219E64340
200076,001-005947-346599,NULL,-104.91898199,39.81334241,5947,NULL,East,NULL,64Th,Avenue,NULL,NULL, ,5947 East 64Th Avenue ,NULL,NULL,NULL,NULL,2019-02-12 00:00:00.0000000,ACTIVE,NO CHANGE,Adams,0xAD100000010C2C50D899D03A5AC0F8D8A79A1BE84340
