420055,005-001353-446232,NULL,-104.81970227,39.73750558,1353, , , ,Sable,Boulevard, ,NULL, ,1353 Sable Boulevard ,Aurora Co,80011, , ,2019-04-24 00:00:00.0000000,ACTIVE,MODIFY LOCATION,Arapahoe,0xAD100000010C543B7E0076345AC0189F2A9566DE4340
420056,005-001363-446233,NULL,-104.81970340,39.73783303,1363, , , ,Sable,Boulevard, ,NULL, ,1363 Sable Boulevard ,Aurora Co,80011, , ,2019-04-24 00:00:00.0000000,ACTIVE,MODIFY LOCATION,Arapahoe,0xAD100000010CE0DA3F0576345AC0E06F085071DE4340
420057,005-001365-446234,NULL,-104.81976840,39.73783421,1365, , , ,Sable,Boulevard, ,NULL, ,1365 Sable Boulevard ,Aurora Co,80011, , ,2019-04-24 00:00:00.0000000,ACTIVE,MODIFY LOCATION,Arapahoe,0xAD100000010C545EE51577345AC0405AFB5971DE4340
420058,005-001361-446235,NULL,-104.81963837,39.73783427,1361, , , ,Sable,Boulevard, ,NULL, ,1361 Sable Boulevard ,Aurora Co,80011, , ,2019-04-24 00:00:00.0000000,ACTIVE,MODIFY LOCATION,Arapahoe,0xAD100000010C38A581F474345AC058C2755A71DE4340
420059,005-001373-446236,NULL,-104.81970417,39.73797618,1373, , , ,Sable,Boulevard, ,NULL, ,1373 Sable Boulevard ,Aurora Co,80011, , ,2019-04-24 00:00:00.0000000,ACTIVE,MODIFY LOCATION,Arapahoe,0xAD100000010C5857760876345AC0E029E30076DE4340
420060,005-001371-446237,NULL,-104.81963810,39.73797661,1371, , , ,Sable,Boulevard, ,NULL, ,1371 Sable Boulevard ,Aurora Co,80011, , ,2019-04-24 00:00:00.0000000,ACTIVE,MODIFY LOCATION,Arapahoe,0xAD100000010CE84A59F374345AC060497A0476DE4340
420061,005-001375-446238,NULL,-104.81977335,39.73797901,1375, , , ,Sable,Boulevard, ,NULL, ,1375 Sable Boulevard ,Aurora Co,80011, , ,2019-04-24 00:00:00.0000000,ACTIVE,MODIFY LOCATION,Arapahoe,0xAD100000010C9405A32A77345AC018659E1876DE4340
420062,005-001381-446239,NULL,-104.81962858,39.73830357,1381, , , ,Sable,Boulevard, ,NULL, ,1381 Sable Boulevard ,Aurora Co,80011, , ,2019-04-24 00:00:00.0000000,ACTIVE,MODIFY LOCATION,Arapahoe,0xAD100000010C006B6DCB74345AC0488A37BB80DE4340
420063,005-001383-446240,NULL,-104.81970199,39.73830318,1383, , , ,Sable,Boulevard, ,NULL, ,1383 Sable Boulevard ,Aurora Co,80011, , ,2019-04-24 00:00:00.0000000,ACTIVE,MODIFY LOCATION,Arapahoe,0xAD100000010C44BB53FF75345AC048C2FCB780DE4340
420064,005-001385-446241,NULL,-104.81978062,39.73830445,1385, , , ,Sable,Boulevard, ,NULL, ,1385 Sable Boulevard ,Aurora Co,80011, , ,2019-04-24 00:00:00.0000000,ACTIVE,MODIFY LOCATION,Arapahoe,0xAD100000010C7C6B254977345AC0A82D97C280DE4340
420065,005-001393-446242,NULL,-104.81969792,39.73845347,1393, , , ,Sable,Boulevard, ,NULL, ,1393 Sable Boulevard ,Aurora Co,80011, , ,2019-04-24 00:00:00.0000000,ACTIVE,MODIFY LOCATION,Arapahoe,0xAD100000010CB4E545EE75345AC010C8B1A485DE4340
