1770056,101-002713-191724,NULL,-104.56219374,38.28293386,2713,NULL,East,NULL,16Th,Street,NULL,NULL,NULL,2713 East 16Th Street,Pueblo,81001,NULL,NULL,2019-02-05 00:00:00.0000000,ACTIVE,NO CHANGE,Pueblo,0xAD100000010C983279FBFA235AC0D0D03D2D37244340
1770057,101-002716-191725,NULL,-104.56218205,38.28252218,2716,NULL,East,NULL,16Th,Street,NULL,NULL,NULL,2716 East 16Th Street,Pueblo,81001,NULL,NULL,2019-02-05 00:00:00.0000000,ACTIVE,NO CHANGE,Pueblo,0xAD100000010C7CC96BCAFA235AC0D873CDAF29244340
1770058,101-002725-191726,NULL,-104.56165759,38.28293877,2725,NULL,East,NULL,16Th,Street,NULL,NULL,NULL,2725 East 16Th Street,Pueblo,81001,NULL,NULL,2019-02-05 00:00:00.0000000,ACTIVE,NO CHANGE,Pueblo,0xAD100000010C085FB032F2235AC0981B705637244340
1770059,101-002728-191727,NULL,-104.56165001,38.28252682,2728,NULL,East,NULL,16Th,Street,NULL,NULL,NULL,2728 East 16Th Street,Pueblo,81001,NULL,NULL,2019-02-05 00:00:00.0000000,ACTIVE,NO CHANGE,Pueblo,0xAD100000010C408EE712F2235AC0D0C6B9D629244340
1770060,101-002732-191728,NULL,-104.56148257,38.28252821,2732,NULL,East,NULL,16Th,Street,NULL,NULL,NULL,2732 East 16Th Street,Pueblo,81001,NULL,NULL,2019-02-05 00:00:00.0000000,ACTIVE,NO CHANGE,Pueblo,0xAD100000010C9C8F9254EF235AC0E8A96FE229244340
1770061,101-002800-191729,NULL,-104.56115635,38.28253156,2800,NULL,East,NULL,16Th,Street,NULL,NULL,NULL,2800 East 16Th Street,Pueblo,81001,NULL,NULL,2019-02-05 00:00:00.0000000,ACTIVE,NO CHANGE,Pueblo,0xAD100000010C34DF53FCE9235AC060D97CFE29244340
1770062,101-002802-191730,NULL,-104.56096145,38.28253479,2802,NULL,East,NULL,16Th,Street,NULL,NULL,NULL,2802 East 16Th Street,Pueblo,81001,NULL,NULL,2019-02-05 00:00:00.0000000,ACTIVE,NO CHANGE,Pueblo,0xAD100000010C2497DBCAE6235AC0301BA2192A244340
1770063,101-002803-191731,NULL,-104.56106847,38.28295066,2803,NULL,East,NULL,16Th,Street,NULL,NULL,NULL,2803 East 16Th Street,Pueblo,81001,NULL,NULL,2019-02-05 00:00:00.0000000,ACTIVE,NO CHANGE,Pueblo,0xAD100000010C1C38B88BE8235AC000D62FBA37244340
1770064,101-002805-191732,NULL,-104.56078145,38.28295411,2805,NULL,East,NULL,16Th,Street,NULL,NULL,NULL,2805 East 16Th Street,Pueblo,81001,NULL,NULL,2019-02-05 00:00:00.0000000,ACTIVE,NO CHANGE,Pueblo,0xAD100000010C04FDE0D7E3235AC050CD22D737244340
1770065,101-002806-191733,NULL,-104.56058907,38.28253839,2806,NULL,East,NULL,16Th,Street,NULL,NULL,NULL,2806 East 16Th Street,Pueblo,81001,NULL,NULL,2019-02-05 00:00:00.0000000,ACTIVE,NO CHANGE,Pueblo,0xAD100000010C6476F9B0E0235AC0504FCA372A244340
1770066,101-002807-191734,NULL,-104.56059699,38.28295545,2807,NULL,East,NULL,16Th,Street,NULL,NULL,NULL,2807 East 16Th Street,Pueblo,81001,NULL,NULL,2019-02-05 00:00:00.0000000,ACTIVE,NO CHANGE,Pueblo,0xAD100000010C4C9232D2E0235AC058485EE237244340
1770067,101-002808-191735,NULL,-104.56039458,38.28254096,2808,NULL,East,NULL,16Th,Street,NULL,NULL,NULL,2808 East 16Th Street,Pueblo,81001,NULL,NULL,2019-02-05 00:00:00.0000000,ACTIVE,NO CHANGE,Pueblo,0xAD100000010C84443781DD235AC09014644D2A244340
1770068,101-002809-191736,NULL,-104.56040468,38.28295789,2809,NULL,East,NULL,16Th,Street,NULL,NULL,NULL,2809 East 16Th Street,Pueblo,81001,NULL,NULL,2019-02-05 00:00:00.0000000,ACTIVE,NO CHANGE,Pueblo,0xAD100000010CC46D99ABDD235AC00042C9F637244340
1770069,101-002810-191737,NULL,-104.56020660,38.28254304,2810,NULL,East,NULL,16Th,Street,NULL,NULL,NULL,2810 East 16Th Street,Pueblo,81001,NULL,NULL,2019-02-05 00:00:00.0000000,ACTIVE,NO CHANGE,Pueblo,0xAD100000010C546DC76CDA235AC0E01BCC5E2A244340
1770070,101-002811-191738,NULL,-104.56021342,38.28295918,2811,NULL,East,NULL,16Th,Street,NULL,NULL,NULL,2811 East 16Th Street,Pueblo,81001,NULL,NULL,2019-02-05 00:00:00.0000000,ACTIVE,NO CHANGE,Pueblo,0xAD100000010C04205F89DA235AC08865A80138244340
1770071,101-002812-191739,NULL,-104.56003502,38.28254503,2812,NULL,East,NULL,16Th,Street,NULL,NULL,NULL,2812 East 16Th Street,Pueblo,81001,NULL,NULL,2019-02-05 00:00:00.0000000,ACTIVE,NO CHANGE,Pueblo,0xAD100000010C2CBB1D9DD7235AC0B0BF7F6F2A244340
1770072,101-002813-191740,NULL,-104.56004000,38.28296632,2813,NULL,East,NULL,16Th,Street,NULL,NULL,NULL,2813 East 16Th Street,Pueblo,81001,NULL,NULL,2019-02-05 00:00:00.0000000,ACTIVE,NO CHANGE,Pueblo,0xAD100000010C080A02B2D7235AC048488B3D38244340
