"1420144","-107.84524513","37.40677842","7577",""," ","Cr","203"," ","","Unit","D","7577 Cr 203 Unit D","","","La Plata"
"1420145","-107.84480124","37.40700986","7577",""," ","Cr","203"," ","","Unit","G","7577 Cr 203 Unit G","","","La Plata"
"1420146","-107.83782046","37.41312014","8124",""," ","Cr","203"," ","","Unit","J","8124 Cr 203 Unit J","","","La Plata"
"1420147","-107.83816017","37.41325231","8124",""," ","Cr","203"," ","","Unit","F","8124 Cr 203 Unit F","","","La Plata"
"1420148","-107.83791937","37.41350689","8124",""," ","Cr","203"," ","","Unit","G","8124 Cr 203 Unit G","","","La Plata"
"1420149","-107.83861442","37.41379277","8132",""," ","Cr","203"," ","",""," ","8132 Cr 203 ","","","La Plata"
"1420150","-107.83883128","37.41358092","8112",""," ","Cr","203"," ","",""," ","8112 Cr 203 ","","","La Plata"
"1420151","-107.58868841","37.22690777","762",""," ","","Daylily","Drive","",""," ","762 Daylily Drive ","","","La Plata"
"1420152","-107.69526155","37.1035944","6295",""," ","Cr","318"," ","",""," ","6295 Cr 318 ","","","La Plata"
"1420153","-107.74007439","37.10855231","13196",""," ","Cr","310"," ","",""," ","13196 Cr 310 ","","","La Plata"
"1420154","-107.89519856","37.11704255","5387",""," ","Cr","213"," ","",""," ","5387 Cr 213 ","","","La Plata"
"1420155","-107.48510095","37.02048674","2572",""," ","Cr","329"," ","",""," ","2572 Cr 329 ","","","La Plata"
"1420156","-108.15374426","37.06717314","1136",""," ","","Solitude","Trail","",""," ","1136 Solitude Trail ","","","La Plata"
"1420157","-108.15309888","37.06995619","1066",""," ","","Solitude","Trail","",""," ","1066 Solitude Trail ","","","La Plata"
"1420158","-108.15263441","37.07358912","1030",""," ","","Solitude","Trail","",""," ","1030 Solitude Trail ","","","La Plata"
"1420159","-107.8692543","37.08025455","110",""," ","","Popkorn","Drive","",""," ","110 Popkorn Drive ","","","La Plata"
"1420160","-107.86999366","37.08081235","90",""," ","","Popkorn","Drive","",""," ","90 Popkorn Drive ","","","La Plata"
"1420161","-107.86847704","37.08174012","76",""," ","","Popkorn","Drive","",""," ","76 Popkorn Drive ","","","La Plata"
