"1660156","-108.5555454","39.05003305","1157"," "," "," ","Santa Clara","Avenue"," ",""," ","1157 Santa Clara Avenue ","Grand Junction","81503","Mesa"
"1660157","-108.55569015","39.05005893","1155"," "," "," ","Santa Clara","Avenue"," ",""," ","1155 Santa Clara Avenue ","Grand Junction","81503","Mesa"
"1660158","-108.55597528","39.04998245","1151"," "," "," ","Santa Clara","Avenue"," ",""," ","1151 Santa Clara Avenue ","Grand Junction","81503","Mesa"
"1660159","-108.55610497","39.04993892","1149"," "," "," ","Santa Clara","Avenue"," ",""," ","1149 Santa Clara Avenue ","Grand Junction","81503","Mesa"
"1660160","-108.55627219","39.04987628","1147"," "," "," ","Santa Clara","Avenue"," ",""," ","1147 Santa Clara Avenue ","Grand Junction","81503","Mesa"
"1660161","-108.55596805","39.0496546","1150"," "," "," ","Olson","Avenue"," ",""," ","1150 Olson Avenue ","Grand Junction","81503","Mesa"
"1660162","-108.5558307","39.04965868","1152"," "," "," ","Olson","Avenue"," ",""," ","1152 Olson Avenue ","Grand Junction","81503","Mesa"
"1660163","-108.55570007","39.04968525","1154"," "," "," ","Olson","Avenue"," ",""," ","1154 Olson Avenue ","Grand Junction","81503","Mesa"
"1660164","-108.55553635","39.04966194","1156"," "," "," ","Olson","Avenue"," ",""," ","1156 Olson Avenue ","Grand Junction","81503","Mesa"
"1660165","-108.55538913","39.04965872","1158"," "," "," ","Olson","Avenue"," ",""," ","1158 Olson Avenue ","Grand Junction","81503","Mesa"
"1660166","-108.55510014","39.04965708","1162"," "," "," ","Olson","Avenue"," ",""," ","1162 Olson Avenue ","Grand Junction","81503","Mesa"
"1660167","-108.55469031","39.04967471","1164"," "," "," ","Olson","Avenue"," ",""," ","1164 Olson Avenue ","Grand Junction","81503","Mesa"
"1660168","-108.55456926","39.04967563","1166"," "," "," ","Olson","Avenue"," ",""," ","1166 Olson Avenue ","Grand Junction","81503","Mesa"
"1660169","-108.55442622","39.0496912","1168"," "," "," ","Olson","Avenue"," ",""," ","1168 Olson Avenue ","Grand Junction","81503","Mesa"
"1660170","-108.55428555","39.04969011","1170"," "," "," ","Olson","Avenue"," ",""," ","1170 Olson Avenue ","Grand Junction","81503","Mesa"
"1660171","-108.5540883","39.04976162","1172"," "," "," ","Olson","Avenue"," ",""," ","1172 Olson Avenue ","Grand Junction","81503","Mesa"
"1660172","-108.5539582","39.04982543","1174"," "," "," ","Olson","Avenue"," ",""," ","1174 Olson Avenue ","Grand Junction","81503","Mesa"
"1660173","-108.55383778","39.0499222","1176"," "," "," ","Olson","Avenue"," ",""," ","1176 Olson Avenue ","Grand Junction","81503","Mesa"
"1660174","-108.55364551","39.04966873","1175"," "," "," ","Olson","Circle"," ",""," ","1175 Olson Circle ","Grand Junction","81503","Mesa"
"1660175","-108.55354148","39.04957769","1177"," "," "," ","Olson","Circle"," ",""," ","1177 Olson Circle ","Grand Junction","81503","Mesa"
"1660176","-108.55339109","39.04953303","1179"," "," "," ","Olson","Circle"," ",""," ","1179 Olson Circle ","Grand Junction","81503","Mesa"
"1660177","-108.55318039","39.04957429","1181"," "," "," ","Olson","Circle"," ",""," ","1181 Olson Circle ","Grand Junction","81503","Mesa"
"1660178","-108.55307738","39.04969007","1183"," "," "," ","Olson","Circle"," ",""," ","1183 Olson Circle ","Grand Junction","81503","Mesa"
"1660179","-108.55309082","39.04987624","1185"," "," "," ","Olson","Circle"," ",""," ","1185 Olson Circle ","Grand Junction","81503","Mesa"
"1660180","-108.55319287","39.05001096","1187"," "," "," ","Olson","Circle"," ",""," ","1187 Olson Circle ","Grand Junction","81503","Mesa"
"1660181","-108.55312149","39.05015772","1189"," "," "," ","Olson","Avenue"," ",""," ","1189 Olson Avenue ","Grand Junction","81503","Mesa"
"1660182","-108.55360623","39.05006919","1186"," "," "," ","Olson","Avenue"," ",""," ","1186 Olson Avenue ","Grand Junction","81503","Mesa"
"1660183","-108.55350739","39.05018148","1188"," "," "," ","Olson","Avenue"," ",""," ","1188 Olson Avenue ","Grand Junction","81503","Mesa"
"1660184","-108.55380108","39.05014192","1179"," "," "," ","Santa Clara","Avenue"," ",""," ","1179 Santa Clara Avenue ","Grand Junction","81503","Mesa"
"1660185","-108.55396151","39.05009805","1175"," "," "," ","Santa Clara","Avenue"," ",""," ","1175 Santa Clara Avenue ","Grand Junction","81503","Mesa"
"1660186","-108.55410053","39.05006968","1173"," "," "," ","Santa Clara","Avenue"," ",""," ","1173 Santa Clara Avenue ","Grand Junction","81503","Mesa"
"1660187","-108.55423983","39.05004213","1171"," "," "," ","Santa Clara","Avenue"," ",""," ","1171 Santa Clara Avenue ","Grand Junction","81503","Mesa"
"1660188","-108.55437523","39.05000549","1169"," "," "," ","Santa Clara","Avenue"," ",""," ","1169 Santa Clara Avenue ","Grand Junction","81503","Mesa"
"1660189","-108.55451521","39.04999012","1167"," "," "," ","Santa Clara","Avenue"," ",""," ","1167 Santa Clara Avenue ","Grand Junction","81503","Mesa"
"1660190","-108.55466518","39.04999454","1165"," "," "," ","Santa Clara","Avenue"," ",""," ","1165 Santa Clara Avenue ","Grand Junction","81503","Mesa"
